skill_a,skill_b,compound_cost,start_spiritus_a,start_spiritus_b,information,future_fights,recovery,parry,durch_cost,timing,seed,focal_win_rate,symmetry_deviation,average_rounds,double_defeat_rate,total_spiritus_per_fight,mean_end_spiritus_per_combatant,basic_parry_per_fight,counter_per_fight,ignore_per_fight,compound_declarations_per_fight,compound_spiritus_per_fight,compound_damage_per_fight,compound_damage_share,compound_defensive_opportunity_rate,compound_fights_with_1_plus_rate,compound_fights_with_2_plus_rate,compound_fights_with_3_plus_rate
14,14,2,8,8,adaptive_revelation,0,R0,P1,1,pre,8222116,0.4755,0.0015,3.2144166666666667,0.0505,3.01475,6.492625,0.4334166666666667,0.49883333333333335,0.005916666666666666,1.16475,2.3295,3.1213333333333333,0.22715198855022015,0.5188388581610305,0.75425,0.32475,0.07766666666666666
14,14,2,8,8,perfect_information,0,R0,P1,1,pre,8223125,0.44816666666666666,0.00475,2.9399166666666665,0.09891666666666667,2.3154166666666667,6.842291666666667,0.12766666666666668,0.8273333333333334,0.012166666666666666,1.0169166666666667,2.0338333333333334,2.91925,0.20311005200814042,0.49368880977425356,0.6931666666666667,0.2643333333333333,0.05416666666666667
14,14,1,3,3,adaptive_revelation,0,R0,P1,1,pre,8224134,0.47325,0.007083333333333333,3.2469166666666665,0.04641666666666667,1.8866666666666667,2.0566666666666666,0.43675,0.4585,0.00625,1.2400833333333334,1.2400833333333334,3.3125,0.24068882416697446,0.5484667551231018,0.7918333333333333,0.3555833333333333,0.08533333333333333
14,14,1,3,3,perfect_information,0,R0,P1,1,pre,8225143,0.45608333333333334,0.005166666666666667,2.993,0.093,1.3534166666666667,2.3232916666666665,0.15858333333333333,0.7935,0.010916666666666667,1.0671666666666666,1.0671666666666666,3.0945833333333335,0.21560032512772875,0.5100366417078223,0.7138333333333333,0.28341666666666665,0.06425
14,14,2,3,3,adaptive_revelation,0,R0,P1,1,pre,8226152,0.45841666666666664,0.012166666666666666,3.34075,0.071,1.9326666666666668,2.0336666666666665,0.6098333333333333,0.6940833333333334,0.00925,0.6890833333333334,1.3781666666666668,1.8949166666666666,0.13357260759999295,0.2968480758184951,0.59925,0.08983333333333333,0.0
14,14,2,3,3,perfect_information,0,R0,P1,1,pre,8227161,0.43425,0.007833333333333333,3.0265,0.12366666666666666,1.64775,2.176125,0.22908333333333333,0.9835833333333334,0.013083333333333334,0.713,1.426,2.0975,0.1421616248333823,0.3390797764831768,0.6120833333333333,0.10091666666666667,0.0
18,18,1,8,8,adaptive_revelation,0,R0,P1,1,pre,8228170,0.46958333333333335,0.008,2.73,0.06883333333333333,2.423,6.7885,0.37633333333333335,0.5326666666666666,0.0016666666666666668,1.4820833333333334,1.4820833333333334,4.836916666666666,0.3453912526033919,0.6034541259500543,0.8586666666666667,0.46066666666666667,0.13991666666666666
18,18,1,8,8,perfect_information,0,R0,P1,1,pre,8229179,0.4226666666666667,0.01525,2.5210833333333333,0.16991666666666666,1.5341666666666667,7.232916666666667,0.00925,0.99725,0.004083333333333333,1.2290833333333333,1.2290833333333333,4.342333333333333,0.2857706946287745,0.5414066514940166,0.766,0.3511666666666667,0.09625
18,18,2,8,8,adaptive_revelation,0,R0,P1,1,pre,8230188,0.46316666666666667,0.004833333333333334,2.766,0.0785,3.6988333333333334,6.1505833333333335,0.40141666666666664,0.5510833333333334,0.0021666666666666666,1.396,2.792,4.541333333333333,0.32282065256024456,0.5608302644794108,0.8289166666666666,0.42325,0.12366666666666666
18,18,2,8,8,perfect_information,0,R0,P1,1,pre,8231197,0.4190833333333333,0.0018333333333333333,2.545916666666667,0.16366666666666665,2.6816666666666666,6.659166666666667,0.011083333333333334,1.0115,0.004333333333333333,1.1975833333333334,2.395166666666667,4.286333333333333,0.2809328745425747,0.5225058173356603,0.7645833333333333,0.3309166666666667,0.08983333333333333
18,18,1,3,3,adaptive_revelation,0,R0,P1,1,pre,8232206,0.4638333333333333,0.005916666666666666,2.7579166666666666,0.07825,2.311166666666667,1.8444166666666666,0.4075,0.5455833333333333,0.0026666666666666666,1.4249166666666666,1.4249166666666666,4.67525,0.3326435745710254,0.5718537841543762,0.8506666666666667,0.43816666666666665,0.12083333333333333
18,18,1,3,3,perfect_information,0,R0,P1,1,pre,8233215,0.41475,0.00275,2.544,0.16775,1.4913333333333334,2.2543333333333333,0.011916666666666667,1.0096666666666667,0.004083333333333333,1.2128333333333334,1.2128333333333334,4.308416666666667,0.28203673498333454,0.5287364673399695,0.7738333333333334,0.3396666666666667,0.08816666666666667
18,18,2,3,3,adaptive_revelation,0,R0,P1,1,pre,8234224,0.4340833333333333,0.023916666666666666,2.87175,0.10791666666666666,2.50775,1.746125,0.555,0.7659166666666667,0.0031666666666666666,0.87675,1.7535,2.9608333333333334,0.20184518196175566,0.34173514795205767,0.7259166666666667,0.15083333333333335,0.0
18,18,2,3,3,perfect_information,0,R0,P1,1,pre,8235233,0.39766666666666667,0.006083333333333333,2.5326666666666666,0.21075,1.8725,2.06375,0.021833333333333333,1.219,0.005583333333333333,0.8588333333333333,1.7176666666666667,3.1555,0.19897114692421272,0.37759214479372755,0.71475,0.14408333333333334,0.0
