skill,parry,durch_cost,compound_cost,start_spiritus,information,timing,recovery,future_fights,basic_parry_declarations_per_fight,basic_parry_after_known_per_fight,basic_parry_after_known_opportunity_rate,basic_parry_defensive_opportunity_rate,basic_parry_success_rate_when_rolled,parry_interruption_rate,parry_durch_decline_fraction,durch_declaration_rate,durch_decline_rate,durch_success_rate,durch_damage_per_fight,durch_spiritus_per_fight,compound_spiritus_per_fight,total_spiritus_per_fight,mean_end_spiritus_per_combatant,end_at_0_rate,end_at_1_2_rate,unused_spirit_at_defeat_mean,allow_parry_hit_chance_mean,durch_success_chance_mean,accepted_actor_spirit_mean,accepted_opponent_spirit_mean,declined_actor_spirit_mean,declined_opponent_spirit_mean
14,P0,0,1,8,adaptive_revelation,pre,R0,0,0.466,0.042,0.23639774859287055,0.20219843795198147,0.7010014306151645,0.0,0.0,0.9041468388851122,0.09585316111488783,0.3473684210526316,0.686,0.0,1.371,1.371,7.3145,0.0,0.0,7.3875120695204375,0.0,0.3494360902255643,7.727067669172932,6.7781954887218046,7.865248226950355,6.836879432624113
14,P0,0,1,5,adaptive_revelation,pre,R0,0,0.47333333333333333,0.043333333333333335,0.2495201535508637,0.20355504587155962,0.6845070422535211,0.0,0.0,0.9123931623931624,0.0876068376068376,0.351288056206089,0.7046666666666667,0.0,1.339,1.339,4.3305,0.0,0.0145,4.391961414790996,0.0,0.3590554254488679,4.709601873536299,3.8095238095238093,4.788617886178862,3.7235772357723578
14,P0,0,1,3,adaptive_revelation,pre,R0,0,0.497,0.036333333333333336,0.25057471264367814,0.21640058055152395,0.6807511737089202,0.0,0.0,0.8958496476115897,0.10415035238841033,0.36625874125874125,0.6353333333333333,0.0,1.2546666666666666,1.2546666666666666,2.3726666666666665,0.007166666666666667,0.5015,2.4385456885456884,0.0,0.35257867132867216,2.757867132867133,1.832167832167832,2.7293233082706765,1.887218045112782
14,P0,0,1,1,adaptive_revelation,pre,R0,0,0.753,0.022333333333333334,0.4785714285714286,0.3049406047516199,0.702523240371846,0.0,0.0,0.8963855421686747,0.10361445783132531,0.32526881720430106,0.17766666666666667,0.0,0.5976666666666667,0.5976666666666667,0.7011666666666667,0.29883333333333334,0.7011666666666667,0.7338129496402878,0.0,0.33548387096774185,0.8655913978494624,0.0,0.9534883720930233,0.0
14,P0,1,0,8,adaptive_revelation,pre,R0,0,0.455,0.042,0.22144112478031636,0.19776876267748478,0.6893772893772894,0.0,0.0,0.8503625576796309,0.14963744232036916,0.351937984496124,0.6803333333333333,0.43,0.0,0.43,7.785,0.0,0.0,7.7515248796147675,0.0,0.37348837209302305,7.943410852713178,7.922480620155039,7.942731277533039,7.92511013215859
14,P0,1,0,5,adaptive_revelation,pre,R0,0,0.45266666666666666,0.04066666666666666,0.2136602451838879,0.1941386704789135,0.7142857142857143,0.0,0.0,0.8490196078431372,0.15098039215686274,0.38183217859892227,0.7256666666666667,0.433,0.0,0.433,4.7835,0.0,0.0003333333333333333,4.7581320450885665,0.0,0.3719784449576602,4.947652040030793,4.910700538876059,4.978354978354979,4.9437229437229435
14,P0,1,0,3,adaptive_revelation,pre,R0,0,0.45166666666666666,0.037333333333333336,0.21832358674463936,0.19304744265564897,0.7173431734317344,0.0,0.0,0.7911949685534592,0.2088050314465409,0.36645468998410174,0.6993333333333334,0.41933333333333334,0.0,0.41933333333333334,2.7903333333333333,0.0003333333333333333,0.20016666666666666,2.760359781561195,0.0,0.37658982511923667,2.9546899841017487,2.9062003179650238,2.9397590361445785,2.9216867469879517
14,P0,1,0,1,adaptive_revelation,pre,R0,0,0.458,0.03233333333333333,0.2852941176470588,0.19597774925117672,0.6957787481804949,0.0,0.0,0.5163185378590078,0.48368146214099217,0.4690265486725664,0.5536666666666666,0.26366666666666666,0.0,0.26366666666666666,0.8681666666666666,0.13183333333333333,0.8681666666666666,0.8580624396523978,0.0,0.4622629582806576,1.0,0.9532237673830595,0.9352226720647774,0.9554655870445344
14,P0,1,1,8,adaptive_revelation,pre,R0,0,0.4686666666666667,0.042,0.23161764705882354,0.20212765957446807,0.6834992887624467,0.0,0.0,0.8373983739837398,0.16260162601626016,0.3794498381877023,0.711,0.412,1.3783333333333334,1.7903333333333333,7.104833333333334,0.0,0.0,7.161570646926296,0.0,0.3788834951456321,7.690938511326861,6.707928802588997,7.6875,6.7
14,P0,1,1,5,adaptive_revelation,pre,R0,0,0.4713333333333333,0.036,0.20037105751391465,0.20162555254527306,0.6888260254596889,0.0,0.0,0.826148409893993,0.17385159010600706,0.3704020530367836,0.658,0.38966666666666666,1.3583333333333334,1.748,4.126,0.0003333333333333333,0.0315,4.172115384615385,0.0,0.37104362703165145,4.699743370402053,3.709153122326775,4.711382113821138,3.7357723577235773
14,P0,1,1,3,adaptive_revelation,pre,R0,0,0.49333333333333335,0.039,0.2588495575221239,0.20815752461322082,0.6945945945945946,0.0,0.0,0.777027027027027,0.22297297297297297,0.3922705314009662,0.5843333333333334,0.345,1.291,1.636,2.182,0.01633333333333333,0.6033333333333334,2.2332053742802302,0.0,0.3852657004830921,2.752657004830918,1.7758454106280193,2.65993265993266,1.7676767676767677
14,P0,1,1,1,adaptive_revelation,pre,R0,0,0.7976666666666666,0.012333333333333333,0.40217391304347827,0.3197060788243153,0.6987045549519432,0.0,0.0,0.509009009009009,0.49099099099099097,0.4646017699115044,0.16,0.07533333333333334,0.5823333333333334,0.6576666666666666,0.6711666666666667,0.3288333333333333,0.6711666666666667,0.6998750780762024,0.0,0.45110619469026547,1.0,0.0,0.7568807339449541,0.0
14,P0,2,0,8,adaptive_revelation,pre,R0,0,0.44466666666666665,0.03766666666666667,0.21689059500959693,0.19122706422018348,0.7218890554722639,0.0,0.0,0.7583333333333333,0.24166666666666667,0.3863060016906171,0.6863333333333334,0.7886666666666666,0.0,0.7886666666666666,7.605666666666667,0.0,0.00016666666666666666,7.563484410157506,0.0,0.39294167371090544,7.91039729501268,7.849535080304311,7.89920424403183,7.862068965517241
14,P0,2,0,5,adaptive_revelation,pre,R0,0,0.468,0.036,0.24269662921348314,0.2016082711085583,0.7044159544159544,0.0,0.0,0.6860174781523096,0.3139825218476904,0.39854413102820746,0.655,0.7326666666666667,0.0,0.7326666666666667,4.633666666666667,0.0,0.005166666666666667,4.584784010315925,0.0,0.4044131028207463,4.943585077343039,4.863512283894449,4.8767395626242545,4.916500994035785
